service_id,date,exception_type
1483_PO,20250701,1
1483_PO,20250702,1
1483_CZ,20250703,1
1483_PT,20250704,1
1485_SO,20250705,1
1485_SW,20250706,1
1485_PO,20250707,1
1485_PO,20250708,1
1485_PO,20250709,1
1485_CZ,20250710,1
1485_PT,20250711,1
1485_SO,20250712,1
1485_SW,20250713,1
1485_PO,20250714,1
1485_PO,20250715,1
1485_PO,20250716,1
1485_CZ,20250717,1
1485_PT,20250718,1
1485_SO,20250719,1
1485_SW,20250720,1
1485_PO,20250721,1
1485_PO,20250722,1
1485_PO,20250723,1
1485_CZ,20250724,1
1485_PT,20250725,1
1485_SO,20250726,1
1485_SW,20250727,1
1485_PO,20250728,1
1485_PO,20250729,1
1485_PO,20250730,1
1485_CZ,20250731,1
1485_PT,20250801,1
1485_SO,20250802,1
1485_SW,20250803,1
1485_PO,20250804,1
1485_PO,20250805,1
1485_PO,20250806,1
1485_CZ,20250807,1
1485_PT,20250808,1
1485_SO,20250809,1
1485_SW,20250810,1
1485_PO,20250811,1
1485_PO,20250812,1
1485_PO,20250813,1
1485_CZ,20250814,1
1485_SW,20250815,1
1485_SO,20250816,1
1485_SW,20250817,1
1485_PO,20250818,1
1485_PO,20250819,1
1485_PO,20250820,1
1485_CZ,20250821,1
1485_PT,20250822,1
1485_SO,20250823,1
1485_SW,20250824,1
1485_PO,20250825,1
1485_PO,20250826,1
1485_PO,20250827,1
1485_CZ,20250828,1
1485_PT,20250829,1
1485_SO,20250830,1
1485_SW,20250831,1
1485_PO,20250901,1
1485_PO,20250902,1
1485_PO,20250903,1
1485_CZ,20250904,1
1485_PT,20250905,1
1485_SO,20250906,1
1485_SW,20250907,1
1485_PO,20250908,1
1485_PO,20250909,1
1485_PO,20250910,1
1485_CZ,20250911,1
1485_PT,20250912,1
1485_SO,20250913,1
1485_SW,20250914,1
1485_PO,20250915,1
1485_PO,20250916,1
1485_PO,20250917,1
1485_CZ,20250918,1
1485_PT,20250919,1
1485_SO,20250920,1
1485_SW,20250921,1
1485_PO,20250922,1
1485_PO,20250923,1
1485_PO,20250924,1
1485_CZ,20250925,1
1485_PT,20250926,1
1485_SO,20250927,1
1485_SW,20250928,1
1485_PO,20250929,1
1485_PO,20250930,1
1485_PO,20251001,1
1485_CZ,20251002,1
1485_PT,20251003,1
1485_SO,20251004,1
1485_SW,20251005,1
1485_PO,20251006,1
1485_PO,20251007,1
1485_PO,20251008,1
1485_CZ,20251009,1
1485_PT,20251010,1
1485_SO,20251011,1
1485_SW,20251012,1
1485_PO,20251013,1
1485_PO,20251014,1
1485_PO,20251015,1
1485_CZ,20251016,1
1485_PT,20251017,1
1485_SO,20251018,1
1485_SW,20251019,1
1485_PO,20251020,1
1485_PO,20251021,1
1485_PO,20251022,1
1485_CZ,20251023,1
1485_PT,20251024,1
1485_SO,20251025,1
1485_SW,20251026,1
1485_PO,20251027,1
1485_PO,20251028,1
1485_PO,20251029,1
1485_CZ,20251030,1
1485_PT,20251031,1
1485_SW,20251101,1
1485_SW,20251102,1
1485_PO,20251103,1
1485_PO,20251104,1
1485_PO,20251105,1
1485_CZ,20251106,1
1485_PT,20251107,1
1485_SO,20251108,1
1485_SW,20251109,1
1485_PO,20251110,1
1485_SW,20251111,1
1485_PO,20251112,1
1485_CZ,20251113,1
1485_PT,20251114,1
1485_SO,20251115,1
1485_SW,20251116,1
1485_PO,20251117,1
1485_PO,20251118,1
1485_PO,20251119,1
1485_CZ,20251120,1
1485_PT,20251121,1
1485_SO,20251122,1
1485_SW,20251123,1
1485_PO,20251124,1
1485_PO,20251125,1
1485_PO,20251126,1
1485_CZ,20251127,1
1485_PT,20251128,1
1485_SO,20251129,1
1485_SW,20251130,1
1485_PO,20251201,1
1485_PO,20251202,1
1485_PO,20251203,1
1485_CZ,20251204,1
1485_PT,20251205,1
1485_SO,20251206,1
1485_SW,20251207,1
1485_PO,20251208,1
1485_PO,20251209,1
1485_PO,20251210,1
1485_CZ,20251211,1
1485_PT,20251212,1
1485_SO,20251213,1
1485_SW,20251214,1
1485_PO,20251215,1
1485_PO,20251216,1
1485_PO,20251217,1
1485_CZ,20251218,1
1485_PT,20251219,1
1485_SO,20251220,1
1485_SW,20251221,1
1485_PO,20251222,1
1485_PO,20251223,1
1485_PO,20251224,1
1485_SW,20251225,1
1485_SW,20251226,1
1485_SO,20251227,1
1485_SW,20251228,1
1485_PO,20251229,1
1485_PO,20251230,1
1485_PO,20251231,1
1485_SW,20260101,1
1485_PT,20260102,1
1485_SO,20260103,1
1485_SW,20260104,1
1485_PO,20260105,1
1485_SW,20260106,1
1485_PO,20260107,1
1485_PO,20260108,1
1485_PT,20260109,1
1485_SO,20260110,1
1485_SW,20260111,1
1485_PO,20260112,1
1485_PO,20260113,1
1485_PO,20260114,1
1485_PO,20260115,1
1485_PT,20260116,1
1485_SO,20260117,1
1485_SW,20260118,1
1485_PO,20260119,1
1485_PO,20260120,1
1485_PO,20260121,1
1485_PO,20260122,1
1485_PT,20260123,1
1485_SO,20260124,1
1485_SW,20260125,1
1485_PO,20260126,1
1485_PO,20260127,1
1485_PO,20260128,1
1485_PO,20260129,1
1485_PT,20260130,1
1485_SO,20260131,1
1485_SW,20260201,1
1485_PO,20260202,1
1485_PO,20260203,1
1485_PO,20260204,1
1485_CZ,20260205,1
1485_PT,20260206,1
1485_SO,20260207,1
1485_SW,20260208,1
1485_PO,20260209,1
1485_PO,20260210,1
1485_PO,20260211,1
1485_CZ,20260212,1
1485_PT,20260213,1
1485_SO,20260214,1
1485_SW,20260215,1
1485_PO,20260216,1
1485_PO,20260217,1
1485_PO,20260218,1
1485_CZ,20260219,1
1485_PT,20260220,1
1485_SO,20260221,1
1485_SW,20260222,1
1485_PO,20260223,1
1485_PO,20260224,1
1485_PO,20260225,1
1485_CZ,20260226,1
1485_PT,20260227,1
1485_SO,20260228,1
