route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
route_6,agency_1,"66","66",,900,,,
route_31,agency_1,"1","1",,900,,,
route_46,agency_1,"22","22",,900,,,
route_53,agency_1,"62","62",,900,,,
route_55,agency_1,"3","3",,900,,,
route_56,agency_1,"69","69",,900,,,
route_58,agency_1,"9","9",,900,,,
route_59,agency_1,"11","11",,900,,,
route_62,agency_1,"24","24",,900,,,
route_63,agency_1,"50","50",,900,,,
route_69,agency_1,"18","18",,900,,,
route_70,agency_1,"52","52",,900,,,
route_145,agency_1,"72","72",,900,,,
route_147,agency_1,"75","75",,900,,,
route_616,agency_1,"99","99",,900,,,
route_698,agency_1,"21","21",,900,,,
route_755,agency_1,"74","74",,900,,,
route_806,agency_1,"4","4",,900,,,
route_807,agency_1,"8","8",,900,,,
route_808,agency_1,"13","13",,900,,,
route_809,agency_1,"20","20",,900,,,
route_954,agency_1,"2","2",,900,,,
route_955,agency_1,"6","6",,900,,,
