trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible
block_1_trip_1_service_3,route_63,service_3,Górka Narodowa P+R,"",0,block_1,shape_92,0
block_1_trip_2_service_3,route_63,service_3,Kurdwanów P+R,"",0,block_1,shape_37,0
block_1_trip_3_service_3,route_63,service_3,Górka Narodowa P+R,"",1,block_1,shape_44,0
block_1_trip_4_service_3,route_63,service_3,Kurdwanów P+R,"",0,block_1,shape_37,0
block_1_trip_5_service_3,route_63,service_3,Górka Narodowa P+R,"",1,block_1,shape_44,0
block_1_trip_6_service_3,route_63,service_3,Zaj. Nowa Huta,"",0,block_1,shape_93,0
block_6_trip_1_service_3,route_63,service_3,Górka Narodowa P+R,"",0,block_6,shape_92,0
block_6_trip_2_service_3,route_63,service_3,Kurdwanów P+R,"",0,block_6,shape_37,0
block_6_trip_3_service_3,route_63,service_3,Górka Narodowa P+R,"",1,block_6,shape_44,0
block_6_trip_4_service_3,route_63,service_3,Kurdwanów P+R,"",0,block_6,shape_37,0
block_6_trip_5_service_3,route_63,service_3,Górka Narodowa P+R,"",1,block_6,shape_44,0
block_6_trip_6_service_3,route_63,service_3,Kurdwanów P+R,"",0,block_6,shape_37,0
block_6_trip_7_service_3,route_63,service_3,Górka Narodowa P+R,"",1,block_6,shape_44,0
block_6_trip_8_service_3,route_63,service_3,Zaj. Nowa Huta,"",0,block_6,shape_93,0
block_11_trip_1_service_3,route_70,service_3,Os.Piastów,"",0,block_11,shape_23480,0
block_11_trip_2_service_3,route_70,service_3,Czerwone Maki P+R,"",1,block_11,shape_23479,0
block_11_trip_3_service_3,route_70,service_3,Os.Piastów,"",0,block_11,shape_23478,0
block_11_trip_4_service_3,route_70,service_3,Czerwone Maki P+R,"",1,block_11,shape_23479,0
block_11_trip_5_service_3,route_70,service_3,Os.Piastów,"",0,block_11,shape_23478,0
block_11_trip_6_service_3,route_70,service_3,Czerwone Maki P+R,"",1,block_11,shape_23479,0
block_11_trip_7_service_3,route_70,service_3,Os.Piastów,"",0,block_11,shape_23478,0
block_11_trip_8_service_3,route_70,service_3,Czerwone Maki P+R,"",1,block_11,shape_23479,0
block_11_trip_9_service_3,route_70,service_3,Os.Piastów,"",0,block_11,shape_23478,0
block_11_trip_10_service_3,route_70,service_3,Czerwone Maki P+R,"",1,block_11,shape_23479,0
block_11_trip_11_service_3,route_70,service_3,Os.Piastów,"",0,block_11,shape_23478,0
block_11_trip_12_service_3,route_70,service_3,Czerwone Maki P+R,"",1,block_11,shape_23479,0
block_11_trip_13_service_3,route_70,service_3,Os.Piastów,"",0,block_11,shape_23478,0
block_11_trip_14_service_3,route_70,service_3,Czerwone Maki P+R,"",1,block_11,shape_23479,0
block_11_trip_15_service_3,route_70,service_3,Os.Piastów,"",0,block_11,shape_23478,0
block_11_trip_16_service_3,route_70,service_3,Zaj. Nowa Huta,"",0,block_11,shape_23482,0
block_13_trip_1_service_3,route_70,service_3,Czerwone Maki P+R,"",1,block_13,shape_129,0
block_13_trip_2_service_3,route_70,service_3,Os.Piastów,"",0,block_13,shape_23478,0
block_13_trip_3_service_3,route_70,service_3,Czerwone Maki P+R,"",1,block_13,shape_23479,0
block_13_trip_4_service_3,route_70,service_3,Os.Piastów,"",0,block_13,shape_23478,0
block_13_trip_5_service_3,route_70,service_3,Czerwone Maki P+R,"",1,block_13,shape_23479,0
block_13_trip_6_service_3,route_70,service_3,Os.Piastów,"",0,block_13,shape_23478,0
block_13_trip_7_service_3,route_70,service_3,Czerwone Maki P+R,"",1,block_13,shape_23479,0
block_13_trip_8_service_3,route_70,service_3,Os.Piastów,"",0,block_13,shape_23478,0
block_13_trip_9_service_3,route_70,service_3,Czerwone Maki P+R,"",1,block_13,shape_23479,0
block_13_trip_10_service_3,route_70,service_3,Os.Piastów,"",0,block_13,shape_23478,0
block_13_trip_11_service_3,route_70,service_3,Czerwone Maki P+R,"",1,block_13,shape_23479,0
